"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"000D0B7A-3048-98E7-046FBA1DC52B6D55","SUBWAY #12460","706 W PEACE ST ","RALEIGH","NC","27605","","","19198340605"
"00FC2D97-FE0A-549D-150427A6BFD57253","CLARK DINING HALL","221 JENSEN  DR ","RALEIGH","NC","27695","","","19195134680"
"0101A22A-D384-15BD-CA44676FD691DEA0","PIZZA HUT #101","3691 NEW BERN  AVE ","RALEIGH","NC","27610","","","19199008096"
"012BD35B-E1D0-BE1F-ED0468117DE14D50","PEACE CHINA","13220 Strickland  RD ","RALEIGH","NC","27613","","","19196769968"
"01351F31-B3E9-348D-50CFFEE9ADAB2D18","HIBACHI 88","3416 POOLE RD ","RALEIGH","NC","27610","","","19192311688"
"01F7A0CB-0C0D-0E4F-4EE88C06A8A77091","NAPPER TANDY'S","410 GLENWOOD AVE ","RALEIGH","NC","27603","","","19198335535"
"02AEBFE0-016D-48A0-929B27B0249E171D","SERGIO'S","7440 LOUISBURG RD ","RALEIGH","NC","27616","","","19198763114"
"03D87387-B1D6-0FC2-D98EF338C873D571","Primo Pizza NY Style","682 CARY TOWNE BLVD ","CARY","NC","27511","","","19193802729"
"0437B855-D417-62F4-46391C43BC92F92A","Antonio's Gourmet Market & Papas","8460-112 HONEYCUTT RD ","RALEIGH","NC","27615","","","111111919887"
"04CC8E58-9ACE-3DC6-F01DF61775A1CB9E","WHITE STREET BREWING CO","218 S WHITE ST ","WAKE FOREST","NC","27587","","","19196479439"
"04E30B2B-A07E-2422-F0D9EDF0B772198B","WENDELL MART","2901 WENDELL BLVD ","WENDELL","NC","27591","","","19193656686"
"05781571-D58F-1EE2-DB40597F49D3EEEB","SLICE OF NY PIZZA","2045 CREEKSIDE LANDING DR ","APEX","NC","27502","","","19193870500"
"05F4A2BC-9EA6-C527-77B0AB8B1405469E","FRESCA CAFE' AND GELATO","302 COLONADES  WAY ","RALEIGH","NC","27518","","","19198518171"
"0686332A-1422-201B-1921E27F28651CDF","Subway #41217","8410-140 Louisburg RD ","RALEIGH","NC","27616","","","19192660300"
"07AF62B1-CFE4-B82A-57CE42A324E9E64E","POLAR ICE HOUSE","1410 BUCK JONES RD ","RALEIGH","NC","27606","","","19194602756"
"07AF62B1-CFE4-B82A-57CE42A324E9E64E","POLAR ICE HOUSE","1410 BUCK JONES RD ","RALEIGH","NC","27606","","","19194602756"
"085BF69A-3048-983B-2641CA581B73E5BF","FLIK INTERNATIONAL AT FIDELITY","11000 WESTON PKY ","CARY","NC","27513","","","19194589264"
"08BE77F0-BD78-5B44-23A13EBF2F5FB0C4","PIEBIRD","618 N PERSON ST ","RALEIGH","NC","27604","","","19195087612"
"08C8DB62-F40E-0251-F00B00951468069F","SAS BUILDING C CAFE","820 SAS CAMPUS DR ","CARY","NC","27513","","","19195318651"
"0955966E-B707-AD2C-284027D6708858FD","El Tapatio #4","4511 New Bern AVE","RALEIGH","NC","27610","","","19192559161"
"0B2C513A-A8D1-22A5-27B591901FCF70F5","CHICK-FIL-A #2181","801 VILLAGE WALK  DR ","HOLLY SPRING","NC","27540","","","19195670060"
"0B2C513A-A8D1-22A5-27B591901FCF70F5","CHICK-FIL-A #2181","801 VILLAGE WALK  DR ","HOLLY SPRING","NC","27540","","","19195670060"
"0B4D3655-9183-E0D4-0A8CDF1A87CBBD98","TIJUANA FLATS #138","1310 E MILLBROOK RD ","RALEIGH","NC","27609","","","19197906409"
"0B4D3655-9183-E0D4-0A8CDF1A87CBBD98","TIJUANA FLATS #138","1310 E MILLBROOK RD ","RALEIGH","NC","27609","","","19197906409"
